Designator,Mid X,Mid Y,Rotation,Layer
C3,124.46,-61.849,90,top
R3,124.206,-51.562,90,top
C5,118.364,-45.338999,-90,top
C6,114.681,-45.339,-90,top
R1,127.381,-56.642,90,top
U1,123.063,-56.642,180,top
C2,131.572,-61.849,90,top
C7,125.857,-45.212,-90,top
R2,127.381,-51.562,90,top
L1,115.57,-54.102,90,top
C1,128.015999,-61.849,90,top
C4,130.556,-56.642,90,top
